Gear Slot,Essence Name,Modifies Skill,Short Effect
Helm,Visage of the Living Ancients,Demoralize,"Demoralize now calls on the power of an Ancient to charge toward you from a targeted location, bringing along any enemies in its path. Damage +18.0%"
Helm,Spiritbreaker,Sprint,"Sprint also leaves tornadoes (7,650 dmg) in your path. Damage +90.0%"
Helm,Pot Metal,Demoralize,"Demoralize becomes an Ancestral Protector, granting an absorb shield that makes you immune to knockback while active. Shield effect +10.8%"
Helm,Squirmskull,Sprint,"While Sprint is active, your Attack Speed increases by 28.5% and projectile speed by 40%."
Helm,Impending Slaughter,Demoralize,Demoralize replaced with an intimidating shout that damages enemies and reduces their attack/move speeds. Damage +18.0%
Helm,Second Breath,Sprint,Sprint duration increased by 39%.
Helm,Grinning Effigy,Undying Rage,"Taking damage during Undying Rage triggers a 5,882 dmg counterattack (once per 0.5s). Damage +90.0%"
Helm,Ancestors’ Stele,Undying Rage,"Undying Rage duration +1 second, Cooldown -3.6%"
Helm,Splitting Outbreak,Ground Stomp,"+1 max charge for Ground Stomp, Cooldown -3.6%"
Helm,Horns of Harrogath,Wrath of the Berserker,"Slaying enemies during WotB increases your damage by 1% for 9.6s, up to 10%."
Helm,Krubask’s Sneer,Wrath of the Berserker,"During WotB, your Critical Hit Chance is increased by 19%."
Helm,Sullen Vow,Wrath of the Berserker,WotB also increases your Primary Attack Speed by 30% for 5.7s.
Helm,Weighted Brow,Ground Stomp,Ground Stomp range increased by 29%.
Helm,Lasting Hate,Wrath of the Berserker,Wrath of the Berserker duration increased by 39%.
Helm,Bestial Threat,Demoralize,Demoralize replaced with a terrifying roar that damages/Immobilizes nearby enemies. Damage +18.0%
Helm,Berserker’s Sanity,Wrath of the Berserker,WotB now also dispels loss-of-control effects. Cooldown -3.6%
Helm,Heartless Terror,Demoralize,Demoralize unleashes a roar that damages enemies while making you immune to loss of control and knockbacks. Damage +18.0%
Helm,Spartusk,Demoralize,"Demoralize now pulls in all nearby enemies, dealing damage, Stunning them, and removing beneficial effects applied by Skills or Primaries. Damage +18.0%"
Helm,Yowl of Execration,Demoralize,Demoralize now knocks back and damages enemies; those knocked into walls are also Stunned. Damage +18.0%
Helm,Brace of Ancestors,Wrath of the Berserker,WotB also causes your Primary Attack to deal 100% of its damage to nearby enemies. Cooldown -3.6%
Helm,Battlemaster's Helm,Demoralize,Demoralize replaced with a war cry that increases all damage you and nearby allies inflict. Cooldown -7.2%
Helm,The Trembling,Undying Rage,Undying Rage also increases your Movement Speed by 50%. Cooldown -3.6%
Helm,Hunter's Sight,Sprint also increases your Critical Hit Chance by 19% while moving.
Chest,Scallop Shell Armor,Hammer of the Ancients,HotA deals up to +76% additional damage the farther away enemies are.
Chest,Broken Ire,Sunder (via Primary Attacks),"Primary Attacks extend Sunder’s duration by 1.6s each (up to 4.8s), also boosting its damage bonus by 3% per stack (max 9%)."
Chest,Umble Drape,Hammer of the Ancients,"When HotA hits an enemy, drop additional hammers (50% damage), once every 3s. Damage increased by 90.0%"
Chest,Direct Diplomacy,Grab,"Grab shatters the enemy’s armor, causing them to take +19% damage for 3s."
Chest,Temple of Battle,Chained Spear,"Sweeps spears from left/right, gathering enemies in a cluster in front of you. Chained Spear damage +18.0%."
Chest,Manifold Gore,Whirlwind,"Whirlwind damage +19% per Bleed on the enemy, up to +57%."
Chest,Davin's Legacy,Hammer of the Ancients,+1 max charge for HotA; Hammer of the Ancients cooldown reduced by 3.6%.
Chest,Impaler’s Breath,Chained Spear,Hurls 3 harpoons that knock enemies away and Stun them. Damage +18.0%.
Chest,Hearth Hook,Chained Spear,Now throws a piercing spear that applies a stacking Bleed. Damage +18.0%.
Chest,Renitent Rage,Hammer of the Ancients,"For each negative condition on an enemy, HotA damage +19% (up to +76%)."
Chest,Cracklefell,Chained Spear,Hurls 3 electrified spears that damage and immobilize enemies. Damage +18.0%.
Chest,Charred Iron,Chained Spear,"Hurls 3 flaming spears, each leaving a burning trail. Damage +18.0%."
Chest,Tracker's Rage,Furious Charge,All damage you deal is increased by +19% after activating Furious Charge.
Chest,Ferocious Gale,Whirlwind,"Whirlwind occasionally spawns tornadoes (8,415 dmg). Damage increased by 90.0%"
Chest,The Gathering,Whirlwind,Whirlwind pulls in all enemies it hits. Whirlwind Energy Consumption -3.6%.
Chest,Five Fresh Claws,Whirlwind,"Whirlwind shreds armor, +2% damage taken per hit (stack up to 5x). Whirlwind Energy Consumption -3.6%."
Chest,Armor Caste,Furious Charge,"Creates shock waves when colliding with walls, dealing 8,500 dmg and Stunning enemies for 1s. Damage increased by 90.0%."
Chest,Lumber-cords,Furious Charge,"Decreases all damage you take by 5% for 3s per enemy hit, stacking up to 6 times. Furious Charge Cooldown -3.6%."
Chest,Death Awaits,Furious Charge,"Also shatters enemies’ armor, increasing damage they take by 19% for 3s."
Chest,Crusher Rig,Chained Spear,"Hurls giant rocks, damaging all enemies in their path. Chained Spear Damage +18.0%."
Chest,Truss of Stolen Skin,Hammer of the Ancients,"After using HotA, gain +20% Attack Speed for 6.4 seconds."
Chest,Widow in Waiting,Furious Charge,Furious Charge now also reduces enemies’ Movement Speed by 50% for 6.4s.
Chest,Indignant Survivor,Whirlwind,"Each time you’re attacked, Whirlwind’s Critical Hit Chance +12% for 2s (up to +36%)."
Chest,Cold Temper,Hammer of the Ancients,"Shatters Frozen enemies for 34,512 extra damage, applying Chill. Damage increased by 90.0%."
Shoulder,Silver Flash,Cleave,Cleave’s knockback can now affect enemy players (once every 2s). Cleave Cooldownreduced by 3.6%.
Shoulder,Dread Desecration,Cleave,"Cleave can be used while suffering loss of control or knockback effects, and grants brief immunity to those effects. Cleave Cooldown -3.6%."
Shoulder,Weight of War,Whirlwind,"Whirlwind makes enemies more vulnerable, increasing Crit Chance against them by 4.8% for 3s, up to 24%."
Shoulder,Broken Calling,Wrath of the Berserker,WotB also makes you immune to knockback effects for 4.75s.
Shoulder,Nature’s Temper,Wrath of the Berserker,"WotB causes Primary Attacks to consume 1% Life, dealing +13,601 damage each strike. Damage +90.0%"
Shoulder,Ox’s Horns,Whirlwind,"Striking the same enemy 3 times with Whirlwind causes them to Bleed for 18,936 dmg/s over 2.5s. Damage +90.0%."
Shoulder,Broken Grasp,Sprint,Sprint also increases your Dodge Chance by 20%. Cooldown -3.6%.
Shoulder,Doom of the Cowed,Wrath of the Berserker,Activating WotB immediately reduces nearby enemies’ Move Speed by 80% for 2s. WotB Cooldown -3.6%.
Shoulder,Law of the Wild,Cleave,Cleave deals +47.5% damage to Slowed enemies.
Shoulder,Writhing Mantle,Cleave,"Cleave damage +29% vs. Chilled enemies, +50% vs. Frozen."
Shoulder,Hell’s Legacy,Sprint,"Sprint leaves a trail of flames dealing 19,040 dmg over 4s. Damage +90.0%"
Shoulder,Animal Instinct,Leap,Leap can be charged to increase range/damage. Leap Damage +18.0%.
Shoulder,Skull Motte,Cleave,"Cleave tears armor, increasing damage enemies take by 11.4% for 3s, up to 34.2%."
Shoulder,Ramshackle Fight,Wrath of the Berserker,"During WotB, each Critical Hit reduces its cooldown by 0.6s, up to 3.6s total."
Shoulder,Bloodguzzle,Cleave,"Each time Cleave hits an enemy within 2s, it gains +19% damage vs. that enemy, up to +57%."
Shoulder,Routfinder,Sprint,Sprint leaves a wind tunnel letting allies pass through for +30% Move Speed (2s). Sprint Cooldown -3.6%.
Shoulder,Hatred’s Reach,Cleave,Cleave range increased by 29%.
Shoulder,The Coming Storm,Wrath of the Berserker,WotB cooldown decreased by 18.6%.
Shoulder,Lonecastle,Whirlwind,+50% chance to block projectiles during Whirlwind; Whirlwind Energy Consumption -3.6%.
Shoulder,Loathsome Lamina,Wrath of the Berserker,"WotB also grants a 6s shield that absorbs 37,743 damage. Shield Effect +54.0%."
Shoulder,Wreckfall,Whirlwind,Whirlwind reduces all damage you take by 20% while channeling. Whirlwind Energy Consumption -3.6%.
Shoulder,Drop by Drop,Cleave,Cleave’s Bleed now spreads to 2 nearby enemies when it expires. Cleave Cooldown -3.6%.
Shoulder,Shocking Chaos,Leap,"Leap is electrified, Stunning all nearby enemies on landing. Leap Damage +18.0%."
Shoulder,Ydama’s Cyclone,Whirlwind,Whirlwind damage increased by 19%.
Legs,Juggernaut’s Plan,Sprint,"Sprint causes you to run continuously, knocking away and damaging enemies in your path. Sprint Damage increased by 18.0%."
Legs,Determination,Furious Charge,Furious Charge can now be charged to increase its range and damage. Furious Charge Damage increased by 18.0%.
Legs,Chitinous Greaves,Ground Stomp,"Ground Stomp unleashes fury within you, Burning enemies. Ground Stomp Damageincreased by 18.0%."
Legs,Trail of Mourning,Sunder,Sunder now also pulls enemies to you. Sunder Cooldown reduced by 3.6%.
Legs,Scalesunder,Chained Spear,"Chained Spear also shatters armor, increasing all damage enemies take by 8% for 4.8 seconds."
Legs,Ram’s Impasse,Furious Charge,"Furious Charge drags enemies with you, Stunning them. Furious Charge Damageincreased by 18.0%."
Legs,Kar’s Defiance,Leap,"Leap grants a 37,683-damage shield and knockback immunity while active. Shield Effectincreased by 54.0%."
Legs,Rockspike,Ground Stomp,Ground Stomp now affects all nearby enemies. Ground Stomp Damage increased by 18.0%.
Legs,Compromise Is Loss,Ground Stomp,"Ground Stomp rips open the ground in front of you, dealing damage; max 2 charges. Ground Stomp Damage increased by 18.0%."
Legs,Crown’s Cowardice (Latest),Furious Charge,"Furious Charge now dashes to a targeted enemy, damaging and Stunning all nearby enemies. Furious Charge Damage increased by 18.0%."
Legs,Cliff Divers,Leap,Activating Leap increases your Critical Hit Chance by 19% for 3 seconds.
Legs,Buried Talons,Chained Spear,Chained Spear also increases your damage by 19% for 3 seconds.
Legs,Plummet Proudly,Leap,Leap also increases your Attack Speed by 28.5% for 3 seconds.
