Stars,Name,Base Effect,Rank 10 Effect,Owned Rank,Quality (if 5 star)
1,Berserker's Eye,"All damage dealt +5.50%, but damage taken +5%","Increases all damage you deal by 16%, but also increases all damage you take by 5%. Additionally, your Critical Hit Chance is increased by 2%.",10,
1,Blessed Pebble,Duration of beneficial effects increased by 8.00%,Increases the duration of beneficial effects on you by 12% and increases your Movement Speed by 8% for 3 seconds after gaining a beneficial effect.,10,
5,Blessing of the Worthy,20% chance when taking damage to deal 12% of max life to nearby enemies,"When you take damage, you have a 20% chance to unleash retribution on all nearby enemies, dealing damage equal to 24% of your maximum Life. Additionally, your Life recovery rate is increased by 10% for 6 seconds after the effect triggers.",10,5
5,Blood-Soaked Jade,"Up to 8% increased damage at full life (min 4% at low life), +10% Movement Speed","Increases all damage you deal by up to 32% and your Movement Speed by 20%. The damage bonus decreases as your Life decreases, but the minimum bonus is 16%. Additionally, your attacks heal you for 2% of damage dealt while the bonus is active.",10,5
1,Ca'arsen's Invigoration,Primary Attack speed increased by 5.50%,Increases the speed of your Primary Attack by 16% and the damage of your Primary Attack by 2%.,10,
1,Chained Death,Damage +1.50% per target hit (max 4.5% with 3 targets),"Increases damage done by your attacks by 4.5% per target hit, up to a maximum of 18% with 4 targets.",10,
5,Chip of Stoned Flesh,Loss of control applies explosive curse dealing 45% of damage taken (max 150% base),"Explosive curse deals 300% base damage to nearby enemies when control effects expire. Additionally, enemies hit by the explosion take 10% increased damage for 5 seconds.",10,5
2,Cutthroat's Grin,Gain 8.00% increased Critical Hit Chance when attacking from behind,,10,
1,Everlasting Torment,Critical hits cause agony: 10% base damage + 122/sec for 6s,"Your critical hits inflict agony, dealing 16.7% base damage + 202 every second for 3 seconds. Each enemy cannot be affected by this more often than once every 6 seconds. Additionally, you gain 6% increased attack speed while any enemy is suffering from your agony.",10,
2,Fervent Fang,"Each hit increases damage by 0.80%, up to 0.80*10% at 10 stacks","Each time you deal damage to an enemy, that enemy now takes 2.4% increased damage from your attacks, up to a maximum increase of 24% at 10 stacks. Additionally, you deal 6% increased damage to Elite monsters.",10,
2,Follower's Burden,"Increases damage by 1.00% for each summon, up to maximum increase of 6%","Increases all damage you deal by 3% for each summon you control, up to a maximum increase of 18%. Additionally, your summons take 6% reduced damage.",10,
5,Frozen Heart,"When damaged, activates Frigid Shield absorbing 150% base damage + 1,458","Reduces damage taken by 32% while your Life is below 50%. Additionally, periodically freezes nearby enemies, dealing 240% base damage and chilling them.",10,5
5,Hellfire Fragment,Conjures 3 hellfire blazes dealing 45% base damage + 510,"Using a skill conjures 3 hellfire blazes around you to seek out enemies within 6 yards, exploding on them dealing 108% base damage + 510 to all nearby enemies. Enemies struck by multiple hellfire blazes take 50% additional damage from subsequent hits. Cannot occur more often than once every 20 seconds.",10,5
